Date,change_in_followers
2023-05-22,608106.0
2023-05-17,6721230.0
2023-03-31,12219109.0
2022-12-11,1192310.0
2022-12-01,313947.0
2022-11-29,468782.0
2022-11-26,870982.0
2022-11-22,1412429.0
2022-11-19,932760.0
2022-11-15,316853.0
2022-11-14,14109.0
2022-11-11,166281.0
2022-11-10,2122749.0
2022-11-02,797296.0
2022-10-31,550736.0
2022-10-30,419146.0
2022-10-29,1227396.0
2022-10-27,1081996.0
2022-10-17,284354.0
2022-10-15,113102.0
2022-10-13,85634.0
2022-10-12,331013.0
2022-10-08,90110.0
2022-10-07,889903.0
2022-09-28,1168155.0
2022-09-19,753173.0
2022-09-10,1012891.0
2022-08-28,173572.0
2022-08-26,170892.0
2022-08-24,375929.0
2022-08-19,398152.0
2022-08-14,905802.0
2022-07-28,1973199.0
2022-07-02,129552.0
2022-06-29,5225390.0
2022-05-25,192419.0
2022-05-23,684461.0
2022-05-19,2010974.0
2022-05-11,979634.0
2022-05-06,121768.0
2022-05-05,798092.0
2022-05-03,5058251.0
2022-04-26,2181014.0
2022-04-22,408245.0
2022-04-19,1392575.0
2022-04-09,268226.0
2022-04-07,199186.0
2022-04-06,1436891.0
2022-03-27,7155189.0
2022-01-30,6957228.0
2021-11-30,1390226.0
2021-11-15,127035.0
2021-11-14,172267.0
2021-11-12,133626.0
2021-11-11,138297.0
2021-11-10,171874.0
2021-11-09,165568.0
2021-11-08,140737.0
2021-11-07,190515.0
2021-11-06,167997.0
2021-11-05,142506.0
2021-11-04,114311.0
2021-11-03,172491.0
2021-11-02,125163.0
2021-11-01,66314.0
2021-10-31,16812.0
2021-10-30,79304.0
2021-10-29,71213.0
2021-10-28,80670.0
2021-10-27,53791.0
2021-10-26,63103.0
2021-10-25,69041.0
2021-10-24,70029.0
2021-10-22,61983.0
2021-10-21,46048.0
2021-10-20,58593.0
2021-10-19,78112.0
2021-10-17,33940.0
2021-10-16,37096.0
2021-10-15,53556.0
2021-10-14,36949.0
2021-10-13,39148.0
2021-10-12,65698.0
2021-10-10,54421.0
2021-10-08,96622.0
2021-10-07,54917.0
2021-10-05,109997.0
2021-10-04,34384.0
2021-10-03,16202.0
2021-10-02,17748.0
2021-10-01,15402.0
2021-09-30,30465.0
2021-09-29,15020.0
2021-09-28,30794.0
2021-09-26,23475.0
2021-09-25,51668.0
2021-09-24,22168.0
2021-09-23,27732.0
2021-09-22,16225.0
2021-09-21,11476.0
2021-09-20,27993.0
2021-09-19,24189.0
2021-09-18,26741.0
2021-09-17,26124.0
2021-09-16,25458.0
2021-09-15,17497.0
2021-09-14,18362.0
2021-09-13,30869.0
2021-09-12,34239.0
2021-09-10,24907.0
2021-09-09,24806.0
2021-09-08,28851.0
2021-09-07,30280.0
2021-09-05,24216.0
2021-09-04,28667.0
2021-09-03,47155.0
2021-09-01,36514.0
2021-08-31,25739.0
2021-08-30,29373.0
2021-08-29,54662.0
2021-08-27,26957.0
2021-08-26,50604.0
2021-08-24,27646.0
2021-08-23,41684.0
2021-08-21,31862.0
2021-08-20,21520.0
2021-08-19,23146.0
2021-08-17,30774.0
2021-08-16,33589.0
2021-08-15,32326.0
2021-08-14,34387.0
2021-08-13,52803.0
2021-08-11,29028.0
2021-08-10,35703.0
2021-08-09,42185.0
2021-08-07,32403.0
2021-08-06,35253.0
2021-08-05,26223.0
2021-08-04,32088.0
2021-08-03,34187.0
2021-08-02,34380.0
2021-08-01,44755.0
2021-07-31,186410.0
2021-07-25,36596.0
2021-07-24,31333.0
2021-07-23,56267.0
2021-07-21,44890.0
2021-07-20,34164.0
2021-07-19,49377.0
2021-07-18,30977.0
2021-07-17,32545.0
2021-07-16,33470.0
2021-07-15,51739.0
2021-07-13,55261.0
2021-07-11,38811.0
2021-07-10,50117.0
2021-07-09,50689.0
2021-07-07,61010.0
2021-07-05,56488.0
2021-07-04,39293.0
2021-07-03,39877.0
2021-07-02,56310.0
2021-07-01,40779.0
2021-06-30,33956.0
2021-06-29,47589.0
2021-06-28,50977.0
2021-06-26,62204.0
2021-06-25,41515.0
2021-06-24,65171.0
2021-06-22,77868.0
2021-06-19,42223.0
2021-06-18,36633.0
2021-06-17,40072.0
2021-06-16,48474.0
2021-06-15,74487.0
2021-06-13,54214.0
2021-06-12,40794.0
2021-06-11,29565.0
2021-06-10,26421.0
2021-06-09,87876.0
2021-06-07,80106.0
2021-06-06,100366.0
2021-06-05,110866.0
2021-06-04,106561.0
2021-06-03,89884.0
2021-06-01,66768.0
2021-05-31,60050.0
2021-05-30,67298.0
2021-05-28,57058.0
2021-05-27,59275.0
2021-05-26,85281.0
2021-05-25,105519.0
2021-05-24,90515.0
2021-05-23,101637.0
2021-05-22,117695.0
2021-05-20,220453.0
2021-05-19,71999.0
2021-05-18,168449.0
2021-05-17,195826.0
2021-05-16,120346.0
2021-05-15,311416.0
2021-05-14,264773.0
2021-05-12,235480.0
2021-05-11,155859.0
2021-05-10,190803.0
2021-05-09,263189.0
2021-05-08,233931.0
2021-05-07,133027.0
2021-05-06,153451.0
2021-05-05,128754.0
2021-05-04,72823.0
2021-05-03,123268.0
2021-05-01,68856.0
2021-04-30,80802.0
2021-04-29,125666.0
2021-04-28,74804.0
2021-04-26,94407.0
2021-04-25,78654.0
2021-04-24,42564.0
2021-04-23,65785.0
2021-04-22,138320.0
2021-04-20,159470.0
2021-04-19,285179.0
2021-04-17,286392.0
2021-04-16,140819.0
2021-04-15,133663.0
2021-04-13,207626.0
2021-04-09,67064.0
2021-04-08,58294.0
2021-04-07,1207443.0
2021-03-17,112466.0
2021-03-15,92386.0
2021-03-14,62132.0
2021-03-12,97094.0
2021-03-10,56712.0
2021-03-09,166756.0
2021-03-06,106990.0
2021-03-04,711540.0
2021-02-23,176467.0
2021-02-21,311647.0
2021-02-18,106128.0
2021-02-17,91438.0
2021-02-16,131107.0
2021-02-15,86712.0
2021-02-14,79115.0
2021-02-13,86271.0
2021-02-12,126851.0
2021-02-11,449348.0
2021-02-08,276467.0
2021-02-07,672716.0
2021-02-04,309309.0
2021-02-02,281613.0
2021-01-31,910418.0
2021-01-29,362651.0
2021-01-28,308547.0
2021-01-25,71624.0
2021-01-24,158626.0
2021-01-22,91040.0
2021-01-20,478085.0
2021-01-13,209727.0
2021-01-11,180778.0
2021-01-10,493408.0
2021-01-01,47501.0
2020-12-30,115318.0
2020-12-26,31353.0
2020-12-24,179969.0
2020-12-20,70817.0
2020-12-16,50781.0
2020-12-14,46558.0
2020-12-12,90648.0
2020-12-10,74519.0
2020-12-08,48016.0
2020-12-05,148807.0
2020-11-28,110589.0
2020-11-23,401425.0
2020-11-09,175020.0
2020-11-03,48387.0
2020-10-31,181430.0
2020-10-20,23780.0
2020-10-18,27775.0
2020-10-17,102321.0
2020-10-12,50663.0
2020-10-09,113816.0
2020-10-04,112670.0
2020-09-29,58498.0
2020-09-27,59507.0
2020-09-24,39975.0
2020-09-22,24362.0
2020-09-21,60320.0
2020-09-17,47534.0
2020-09-15,125777.0
2020-09-09,43824.0
2020-09-07,187746.0
2020-08-30,151180.0
2020-08-25,66371.0
2020-08-22,34506.0
2020-08-21,195532.0
2020-08-16,38786.0
2020-08-14,65612.0
2020-08-12,129899.0
2020-08-09,68596.0
2020-08-07,76084.0
2020-08-05,61106.0
2020-08-03,291279.0
2020-07-26,216019.0
2020-07-19,38176.0
2020-07-17,67953.0
2020-07-14,84153.0
2020-07-11,129604.0
2020-07-07,306956.0
2020-06-27,243683.0
2020-06-19,43711.0
2020-06-17,32049.0
2020-06-16,198397.0
2020-06-09,153172.0
2020-06-06,99444.0
2020-06-04,505668.0
2020-05-31,252181.0
2020-05-28,150412.0
2020-05-26,68096.0
2020-05-24,200685.0
2020-05-19,87362.0
2020-05-17,171136.0
2020-05-13,174066.0
2020-05-10,33958013.0
2020-05-07,1.0
2020-05-01,-1.0
2020-04-29,-1.0
